Name,Position,Team,Age,Height,Height_i,Weight,College,Salary,Points,Rebounds,Assists
Shai Gilgeous-Alexander,SG,Oklahoma City Thunder,23,"6' 6""",6.6,180,Kentucky,5495532,23.7,4.7,5.9
Josh Hall,SF,Oklahoma City Thunder,20,"6' 9""",6.9,190,Moravian,,4.1,2.8,1.3
Jaylen Hoard,SF,Oklahoma City Thunder,22,"6' 8""",6.8,216,Wake Forest,,6.1,3.4,1.3
Ty Jerome,SG,Oklahoma City Thunder,24,"6' 5""",6.5,195,Virginia,2412840,10.7,2.8,3.6
Vit Krejci,F,Oklahoma City Thunder,21,"6' 8""",6.8,195,,,,,
Theo Maledon,PG,Oklahoma City Thunder,20,"6' 4""",6.4,175,,2000000,10.1,3.2,3.5
Tre Mann,PG,Oklahoma City Thunder,20,"6' 3""",6.3,178,Florida,2901240,,,
Mike Muscala,C,Oklahoma City Thunder,30,"6' 10""",6.1,240,Bucknell,3365385,9.7,3.8,0.8
Svi Mykhailiuk,SG,Oklahoma City Thunder,24,"6' 7""",6.7,205,Kansas,,8.5,2.5,1.7
Aleksej Pokusevski,PF,Oklahoma City Thunder,19,"7' 0""",7,190,,3113160,8.2,4.7,2.2
Jeremiah Robinson-Earl,PF,Oklahoma City Thunder,20,"6' 8""",6.8,242,Villanova,2000000,,,
Isaiah Roby,C,Oklahoma City Thunder,23,"6' 8""",6.8,230,Nebraska,1782621,8.7,5.6,1.8
Aaron Wiggins,SG,Oklahoma City Thunder,22,"6' 5""",6.5,190,Maryland,,,,
Kenrich Williams,SF,Oklahoma City Thunder,26,"6' 6""",6.6,210,TCU,2000000,8,4.1,2.3
Keljin Blevins,SF,Portland Trail Blazers,25,"6' 4""",6.4,200,Montana State,,0.7,0.6,0.2
Greg Brown,PF,Portland Trail Blazers,20,"6' 9""",6.9,205,Texas,925258,,,
Robert Covington,PF,Portland Trail Blazers,30,"6' 7""",6.7,209,Tennessee State,12975471,8.5,6.7,1.7
CJ Elleby,SG,Portland Trail Blazers,21,"6' 6""",6.6,200,Washington State,1517981,2.3,1.1,0.3
Harry Giles III,PF,Portland Trail Blazers,23,"6' 11""",6.11,240,Duke,,2.8,3.5,0.8
Rondae Hollis-Jefferson,SF,Portland Trail Blazers,26,"6' 6""",6.6,217,Arizona,,2.5,2.4,1.2
T.J. Leaf,PF,Portland Trail Blazers,24,"6' 10""",6.1,222,UCLA,,1.7,0.7,0.1
Damian Lillard,PG,Portland Trail Blazers,31,"6' 2""",6.2,195,Weber State,39344900,28.8,4.2,7.5
Nassir Little,SF,Portland Trail Blazers,21,"6' 5""",6.5,220,North Carolina,2316240,4.6,2.7,0.5
CJ McCollum,SG,Portland Trail Blazers,29,"6' 3""",6.3,190,Lehigh,30864198,23.1,3.9,4.7
Ben McLemore,SG,Portland Trail Blazers,28,"6' 3""",6.3,195,Kansas,1669178,7.7,1.9,0.7
Larry Nance Jr.,PF,Portland Trail Blazers,28,"6' 7""",6.7,245,Wyoming,10690909,9.3,6.7,3.1
Jusuf Nurkic,C,Portland Trail Blazers,27,"6' 11""",6.11,290,,12000000,11.5,9,3.4
Norman Powell,SF,Portland Trail Blazers,28,"6' 3""",6.3,215,UCLA,15517241,18.6,3.1,1.9
Anfernee Simons,SG,Portland Trail Blazers,22,"6' 3""",6.3,181,,3938818,7.8,2.2,1.4
Tony Snell,SF,Portland Trail Blazers,29,"6' 6""",6.6,213,New Mexico,1669178,5.3,2.4,1.3
Trendon Watford,F,Portland Trail Blazers,20,"6' 9""",6.9,240,LSU,,,,
Cody Zeller,C,Portland Trail Blazers,28,"6' 11""",6.11,240,Indiana,1669178,9.4,6.8,1.8
Udoka Azubuike,C,Utah Jazz,21,"6' 10""",6.1,280,Kansas,2075880,1.1,0.9,0
Bojan Bogdanovic,SF,Utah Jazz,32,"6' 7""",6.7,226,,18700000,17,3.9,1.9
Jarrell Brantley,PF,Utah Jazz,25,"6' 5""",6.5,250,Charleston,1669178,2.3,1,0.5
Jared Butler,SG,Utah Jazz,21,"6' 3""",6.3,195,Baylor,925258,,,
Jordan Clarkson,PG,Utah Jazz,29,"6' 4""",6.4,194,Missouri,12420000,18.4,4,2.5
Mike Conley,PG,Utah Jazz,33,"6' 1""",6.1,175,Ohio State,21000000,16.2,3.5,6
Trent Forrest,SG,Utah Jazz,23,"6' 4""",6.4,210,Florida State,,2.9,1.5,1.5
Rudy Gay,SF,Utah Jazz,35,"6' 8""",6.8,250,Connecticut,5890000,11.4,4.8,1.4
Rudy Gobert,C,Utah Jazz,29,"7' 1""",7.1,258,,35344828,14.3,13.5,1.3
Elijah Hughes,SF,Utah Jazz,23,"6' 5""",6.5,215,Syracuse,1517981,1.7,0.5,0.3
Ersan Ilyasova,PF,Utah Jazz,34,"6' 9""",6.9,235,,,3.8,1.7,0.2
Joe Ingles,SG,Utah Jazz,33,"6' 8""",6.8,220,,13036364,12.1,3.6,4.7
Donovan Mitchell,SG,Utah Jazz,25,"6' 1""",6.1,215,Louisville,28103500,26.4,4.4,5.2
Juwan Morgan,SF,Utah Jazz,24,"6' 7""",6.7,232,Indiana,,1.2,1,0.3
Royce O'Neale,PF,Utah Jazz,28,"6' 4""",6.4,226,Baylor,8800000,7,6.8,2.5
Olumiye Oni,SG,Utah Jazz,24,"6' 5""",6.5,206,Yale,1782621,,,
Eric Paschall,F,Utah Jazz,24,"6' 6""",6.6,255,Villanova,1782621,9.5,3.2,1.3
Hassan Whiteside,C,Utah Jazz,32,"7' 0""",7,265,Marshall,1669178,8.1,6,0.6
